Number of doors,Tipo di corpo,CO2 emissions,Luggage compartment volume,Dimensioni e Peso,Front Terrain Angle,Motore e trasporzione,Equipamento,Turning circle diameter,Rubber size,Acceleration from 0 to 100 km/h,Production period,Wading depth,Drive,Ground clearance,Payload,Number of cylinders,Cylinder Arrangement,Cylinder capacity,Length,Rear Terrain Angle,Category,Exports,Department of Environmental Protection,Altitude,Maximum Torque,Maximum power,On-road consumption,Performace,Ramp angle,Own weight,Gearbox,Number of persons to be transported,Width,Wheelbase,Mixed consumption,Urban consumption,Top speed,Total weight,Modern price,Fuel,Fuel tank
3 doors,Non disponibile,118 g/km,170 l,Non disponibile,Non disponibile,Non disponibile,"HillHolder, Head restraints front and rear [4 pcs],, Brake system: Anti-lock braking system [ABS],, Tachometer, Rear wiper washer system, Isofix locking, Isofix anchorages rear, Upholstery: fabric, Wheels: 15', Central locking remote control with, Electrically adjustable exterior mirrors, Exterior rear-view mirrors and handles in body color,, Airbag on driver and passenger side, Side airbags front, Curtain airbag,,, Microfilter [dust and pollen filter],, Spare brake light [third brake light], Spare Wheel: tire repair kit instead of a spare wheel, Radio, Transmission: 5-speed manual,, Power steering: electric,, Tinted windows, Seats rear: folding and dividing, Seats: height-adjustable driver and passenger seat",10 m,185/65 R15,14.9 seconds,2013—,Non disponibile,Front wheel,Non disponibile,444 kg,4 cylinders,Soros,"1,229 cm³",3 698 mm,Non disponibile,Mini-cars,Hatchback,EURO 5,1 484 mm,115 Nm,"51 kW, 69 HP",4.2 l/100km,Non disponibile,Non disponibile,1.011 kg,Manual (5-speed) transmission,4 persons,1 720 mm,"2,311 mm",5.0 l/100km,"6,5 l/100km",165 km/h,1 455 kg,3 250 000 HUF,Gasoline,35 l
3 doors,Non disponibile,118 g/km,170 l,Non disponibile,Non disponibile,Non disponibile,"Bluetooth speakerphone, USB connector, Bluetooth music playback, HillHolder, Headrests front and rear [4 pcs],, Brake system: Anti-lock braking system [ABS],, Tachometer, Rear wiper washer, Start lock, ISOFIX mounting points rear, Upholstery: leather, coated gear lever, Steering wheel: height-adjustable, Alloy wheels: 16', Remote central locking, Electrically adjustable exterior mirrors, Body-coloured exterior mirrors and door handles, Air-conditioning [AC],, Airbag a Driver and passenger side, Side airbags front, Curtain airbag,,, Microfilter [dust and pollen filter],, Spare brake light [third brake light], Spare wheel: tire repair kit instead of spare wheel, Radio CD with MP3 player, Radio CD with MP3 player, USB, Bluetooth iPod compatible, Radio controller Steering wheel drive, Cruise control [cruise control], Transmission: 5-speed mechanical,, Power steering: electric,, Tinted windows, Seats rear: folding and dividing, Seats: height-adjustable driver and passenger seat",10 m,195/55 R16,14.9 seconds,2013—,Non disponibile,Front wheel,Non disponibile,444 kg,4 cylinders,Soros,"1,229 cm³",3 698 mm,Non disponibile,Mini-cars,Hatchback,EURO 5,1 484 mm,115 Nm,"51 kW, 69 HP",4.2 l/100km,Non disponibile,Non disponibile,1.011 kg,Manual (5-speed) transmission,4 persons,1 720 mm,"2,311 mm",5.0 l/100km,"6,5 l/100km",165 km/h,1 455 kg,3 570 000 HUF,Gasoline,35 l
3 doors,Non disponibile,118 g/km,170 l,Non disponibile,Non disponibile,Non disponibile,"Audio system with 7 speakers, Bluetooth hands-free, USB connection, bluetooth music playback, HillHolder, Headrests front and rear [4 pcs],, Braking system: anti-lock braking system [ABS],, Tachometer, Rear wiper washer system, Start lock, ISOFIX anchorage points rear rear, Upholstery: fabric, Leather gear lever, Steering wheel: height-adjustable, Alloy wheels: 16', Remote central locking system, Chrome package: side panels, Chrome trim panel, Exterior rear-view mirrors electrically adjustable, Exterior rearview mirror I and Handles in body colour, Air conditioning [ACC] automatic,, Airbag on driver and passenger side, Side airbags front, Curtain airbag,,, Microfilter [dust and pollen filter],, Cup holder front, Spare brake light [third brake light], Spare wheel: spare wheel replacement tire repair kit, Radio-CD with MP3 player, Radio-CD with MP3 player, USB, Bluetooth iPod compatible, Radio control on the steering wheel, Cruise control [cruise control], Transmission: 5-speed mechanical,, Power steering: electric,, Tinted windows, Roof design: Panorama glass roof, Seats rear: folding and dividing, Seats: height-adjustable driver and passenger seat",10 m,195/55 R16,14.9 seconds,2013—,Non disponibile,Front wheel,Non disponibile,444 kg,4 cylinders,Soros,"1,229 cm³",3 698 mm,Non disponibile,Mini-cars,Hatchback,EURO 5,1 484 mm,115 Nm,"51 kW, 69 HP",4.2 l/100km,Non disponibile,Non disponibile,1.011 kg,Manual (5-speed) transmission,4 persons,1 720 mm,"2,311 mm",5.0 l/100km,"6,5 l/100km",165 km/h,1 455 kg,3 790 000 HUF,Gasoline,35 l
3 doors,Non disponibile,118 g/km,170 l,Non disponibile,Non disponibile,Non disponibile,"Audio system with 7 speakers, Bluetooth hands-free, USB connection, bluetooth music playback, HillHolder, Headrests front and rear [4 pcs],, Brake system: anti-lock braking system [ABS],, Tachometer, Chassis design: sports suspension, Rear wiper washer system, Start Locking system, ISOFIX installation points rear, Upholstery: fabric, Leather shift lever, Steering wheel: height and distance adjustment, Alloy wheels: 17', Remote central locking, Exterior rear-view mirrors electrically adjustable, Exterior rear-view mirrors and door handles body colour, Air Conditioning [ACC] automatic,, Airbag on driver's and passenger's side, Side airbags front, Curtain airbag,,, Microfilter [dust and pollen filter],, Cup holder front, Spare brake light [third brake light], Spare wheel: spare tire instead of tire repair kit, Radio-CD with MP3 player, Radio-CD with MP3 player, USB, Bluetooth iPod compatible, Radio control on the steering wheel, Cruise control [cruise control], Transmission: 5-speed mechanical,, Power steering: electric,, Tinted windows, Seats rear: folding and dividing, Seats: Height-adjustable driver and passenger seats, Glazing: rear tinted, Illumination: LED taillights, third brake light",10 m,215/45 R17,14.9 seconds,2013—,Non disponibile,Front wheel,Non disponibile,444 kg,4 cylinders,Soros,"1,229 cm³",3 698 mm,Non disponibile,Mini-cars,Hatchback,EURO 5,1 484 mm,115 Nm,"51 kW, 69 HP",4.2 l/100km,Non disponibile,Non disponibile,1.011 kg,Manual (5-speed) transmission,4 persons,1 720 mm,"2,311 mm",5.0 l/100km,"6,5 l/100km",165 km/h,1 455 kg,3 850 000 HUF,Gasoline,35 l
3 doors,Non disponibile,153 g/km,364 l,Non disponibile,Non disponibile,Non disponibile,"Trunk net, Power windows front, Head restraints front and rear [4 pcs],, Brake system: Anti-lock braking system [ABS],, Tachometer, Child seat preparation [ISOFIX], Start-up lock, Information system: On-board computer, Wheels: 15', Steering wheel Wheel: height-adjustable and distance-adjustable, Electrically adjustable and heated exterior mirrors, Air conditioning [AC],, Airbag on driver and passenger side, Side airbags front,,, Microfilter [dust and pollen filter],, Radio with steering column control, Gear shift: 5 mechanical, Windscreen: special reflective,, Power steering: speed-dependent,, Tinted windows, Under-seat storage compartments front, Rear seats: sliding and split tilt, Variable interior accessories, Emergency lights and exterior mirrors in body colour, Lighting: fog lights front, Seats: height-adjustable driver's seat, folding passenger seat",Non disponibile,185/60 R15,14.4 seconds,2005-2007,Non disponibile,Front wheel,Non disponibile,339 kg,4 cylinders,Soros,"1,360 cm³",3.731 mm,Non disponibile,Small cars,Hatchback,EURO 4,1 620 mm,118 Nm,"54 kW, 73 HP","5,3 l/100km",Non disponibile,Non disponibile,1 215 kg,Manual (5-speed) transmission,4 persons,1 686 mm,2 315 mm,"6,5 l/100km","8,6 l/100km",165 km/h,1 554 kg,3 730 000 HUF,Gasoline,40 l
3 doors,Non disponibile,150 g/km,364 l,Non disponibile,Non disponibile,Non disponibile,"Trunk net, Power windows front, Head restraints front and rear [4 pcs],, Brake system: Anti-lock braking system [ABS],, Tachometer, Child seat preparation [ISOFIX], Start-up lock, Information system: On-board computer, Wheels: 15', Steering wheel Wheel: height-adjustable and distance-adjustable, Electrically adjustable and heated exterior mirrors, Air conditioning [AC],, Airbag on driver and passenger side, Side airbags front,,, Microfilter [dust and pollen filter],, Radio with steering column control, Gear shift: 5 mechanical, Windscreen: special reflective,, Power steering: speed-dependent,, Tinted windows, Under-seat storage compartments front, Rear seats: sliding and split tilt, Variable interior accessories, Emergency lights and exterior mirrors in body colour, Lighting: fog lights front, Seats: height-adjustable driver's seat, folding passenger seat",Non disponibile,185/60 R15,13.6 seconds,2006-2007,Non disponibile,Front wheel,Non disponibile,362 kg,4 cylinders,Soros,"1,360 cm³",3.731 mm,Non disponibile,Small cars,Hatchback,EURO 4,1 620 mm,133 Nm,"66 kW, 90 HP",5.3 l/100km,Non disponibile,Non disponibile,1 238 kg,Manual (5-speed) transmission,4 persons,1 686 mm,2 315 mm,"6,4 l/100km","8,4 l/100km",173 km/h,1 600 kg,3 830 000 HUF,Gasoline,40 l
3 doors,Non disponibile,155 g/km,364 l,Non disponibile,Non disponibile,Non disponibile,"Trunk net, Power windows front, Head restraints front and rear [4 pcs],, Brake system: Anti-lock braking system [ABS],, Tachometer, Child seat preparation [ISOFIX], Starter lock, Information system: On-board computer, Wheels: 15', Steering wheel Wheel: height-and distance-adjustable, Electrically adjustable and heated exterior mirrors, Air conditioning [AC],, Airbag on driver and passenger side, Side airbags front,,, Microfilter [dust and pollen filter],, Radio with steering column, 6 speakers, Wind Protective glass: special reflector,, Power steering: speed-dependent,, Tinted windows, Roof rack rail, Under-seat storage compartments front, Rear seats: sliding and split tilt, Variable interior accessories, Emergency lights and exterior mirrors in body colour, Lighting: fog lights front, Seats: height-adjustable driver's seat, folding passenger seat",Non disponibile,185/60 R15,11.8 seconds,2005-2007,Non disponibile,Front wheel,Non disponibile,380 kg,4 cylinders,Soros,"1,587 cm³",3.731 mm,Non disponibile,Small cars,Hatchback,EURO 4,1 620 mm,147 Nm,"80 kW, 109 HP",5.4 l/100km,Non disponibile,Non disponibile,1 216 kg,Automatic (5-speed tiptronic) transmission,4 persons,1 686 mm,2 315 mm,6.6 l/100km,"8,6 l/100km",190 km/h,1 596 kg,4 290 000 HUF,Gasoline,40 l
3 doors,Non disponibile,155 g/km,364 l,Non disponibile,Non disponibile,Non disponibile,"Trunk net, Easy package: automatic air-conditioning, rain-sensing wiper, automatic headlights, Power windows front, Head restraints front and rear [4 pcs],, Braking system: Anti-lock braking system [ABS],, Tachometer, Child seat preparation [ISOFIX], Start Power steering, Information system: On-board computer, Steering wheel: height-adjustable, Alloy wheels: 16', Chrome-plated tailpipe, Exterior mirrors electrically adjustable and heated, Air-conditioning [ACC] automatic,, Airbag on driver's and passenger's side, Side Airbags Front,,, Microfilter [dust/pollen filter],, Radio with steering column control, Windshield: special reflective,, Power steering: speed-dependent,, Tinted windows, Roof rack rail, Ultrasonic parking control system rear, Underseat storage compartments front, Seats Rear: sliding and split tilt, Variable interior accessories, City package: reversing sensor, Automatic rear-view mirrors, Emergency lights and exterior mirrors in body colour, Lighting: fog lights front, Seats: height-adjustable driver's seat, folding passenger seat, front sports seats",Non disponibile,195/50 R16,11.8 seconds,2005-2009,Non disponibile,Front wheel,Non disponibile,380 kg,4 cylinders,Soros,"1,587 cm³",3.731 mm,Non disponibile,Small cars,Hatchback,EURO 4,1 620 mm,147 Nm,"80 kW, 109 HP",5.4 l/100km,Non disponibile,Non disponibile,1 216 kg,Automatic (5-speed tiptronic) transmission,4 persons,1 686 mm,2 315 mm,6.6 l/100km,"8,6 l/100km",190 km/h,1 596 kg,4 440 000 HUF,Gasoline,40 l
Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1955—,Non disponibile,Rear wheel,Non disponibile,Non disponibile,4 cylinders,Non disponibile,"1,582 cm³",Non disponibile,Non disponibile,Non disponibile,Cup,Non disponibile,Non disponibile,Non disponibile,"55 kW, 75 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1959—,Non disponibile,Rear wheel,Non disponibile,Non disponibile,4 cylinders,Non disponibile,"1,582 cm³",Non disponibile,Non disponibile,Non disponibile,Cup,Non disponibile,Non disponibile,Non disponibile,"55 kW, 75 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1963—,Non disponibile,Rear wheel,Non disponibile,Non disponibile,4 cylinders,Boxer,"1,582 cm³",Non disponibile,Non disponibile,Non disponibile,Cup,Non disponibile,Non disponibile,Non disponibile,"55 kW, 75 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1961—,Non disponibile,Rear wheel,Non disponibile,Non disponibile,4 cylinders,Non disponibile,"1,966 cm³",Non disponibile,Non disponibile,Non disponibile,Cup,Non disponibile,Non disponibile,Non disponibile,"96 kW, 131 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1996—,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Soros,"9,840 cm³",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,"186 kW, 253 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Diesel,Non disponibile
